proxy_cp	hangul	hangul_cp
U+6C50	머	U+BA38
U+6C57	먹	U+BA39
U+6C5D	먼	U+BA3C
U+6C7D	멀	U+BA40
U+6C83	멈	U+BA48
U+6C93	멋	U+BA4B
U+6CAB	멍	U+BA4D
U+6CB1	메	U+BA54
U+6CB8	멕	U+BA55
U+6CBC	멘	U+BA58
U+6CCC	멜	U+BA5C
U+6D1B	멤	U+BA64
U+6D2A	멩	U+BA69
U+6D32	며	U+BA70
U+6D66	면	U+BA74
U+6D6C	멸	U+BA78
U+6D74	명	U+BA85
U+6D78	몇	U+BA87
U+6D8C	모	U+BAA8
U+6D9C	목	U+BAA9
U+6DAF	몫	U+BAAB
U+6DBC	몬	U+BAAC
U+6DCB	몰	U+BAB0
U+6DD1	몸	U+BAB8
U+6DD8	몹	U+BAB9
U+6DEB	못	U+BABB
U+6DF3	몽	U+BABD
U+6E07	묘	U+BB18
U+6E13	무	U+BB34
U+6E1A	묵	U+BB35
U+6E20	묶	U+BB36
U+6E25	문	U+BB38
U+6E3E	묻	U+BB3B
U+6E4A	물	U+BB3C
U+6E56	묽	U+BB3D
U+6E58	뭉	U+BB49
U+6E5B	뭐	U+BB50
U+6E6E	뭔	U+BB54
U+6E7F	뭘	U+BB58
U+6E8C	뭡	U+BB61
U+6ECB	뭣	U+BB63
U+6EDD	뮤	U+BBA4
U+6F06	뮬	U+BBAC
U+6F09	므	U+BBC0
U+6F15	믄	U+BBC4
U+6F23	미	U+BBF8
U+6F38	믹	U+BBF9
U+6F45	민	U+BBFC
U+6F5F	믿	U+BBFF
U+6F97	밀	U+BC00
U+6FB1	밋	U+BC0B
U+6FE0	밍	U+BC0D
U+6FEB	및	U+BC0F
U+701E	밑	U+BC11
U+7026	바	U+BC14
U+7027	박	U+BC15
U+7078	밖	U+BC16
U+7089	반	U+BC18
U+7092	받	U+BC1B
U+70AD	발	U+BC1C
U+70B8	밝	U+BC1D
U+70CF	밟	U+BC1F
U+70F9	밤	U+BC24
U+711A	밥	U+BC25
U+7149	방	U+BC29
U+714C	배	U+BC30
U+714E	백	U+BC31
U+7164	밴	U+BC34
U+718A	밸	U+BC38
U+7194	뱀	U+BC40
U+71D0	뱃	U+BC43
U+71E6	뱅	U+BC45
U+71ED	뱉	U+BC49
U+71FC	버	U+BC84
U+7235	벅	U+BC85
U+723D	번	U+BC88
U+723E	벌	U+BC8C
U+724C	범	U+BC94
U+7252	법	U+BC95
U+725D	벗	U+BC97
U+725F	벙	U+BC99
U+7261	베	U+BCA0
U+7267	벡	U+BCA1
U+72AC	벤	U+BCA4
U+72D0	벨	U+BCA8
U+72D7	벼	U+BCBC
U+72DB	벽	U+BCBD
